Product Name,Price,Discount,Category,Brand,Rating,Number of Reviews
Sounce Large Extended Earth Design Desk Mat for Laptop Keyboard and Mouse Use Water Resistant Anti Slip Surface Non Logo Mouse Pad 800 x 300 mm Ideal for Office Home and Gaming Setup in Black,249,(50% off),Computer Accessories,Sounce,"4.3 out of 5 stars, rating details",124
"HUMBLE Mini Portable Laptop Stand,Invisible Computer Stand |Ergonomic Foldable Aluminum Anti-Slip Portable Tabletop Laptop/Keyboard Riser Holder Compatible with All Laptop/Keyboard (2Pcs)-Random Color",249,(83% off),Computer Accessories,HUMBLE,"4.2 out of 5 stars, rating details",140
"Elfora 2 in 1 Tablet Stylus Pen for All Touch Screens Devices | Fine Point Tip | High Sensitivity & Precision Capacitive Pen with Compatible for iOS, Android, and Windows â€“ Black",249,(75% off),Tablets,Elfora,"4.2 out of 5 stars, rating details",175
"Electronic Spices 4 inches Max Subwoofer Bluetooth Speaker 4 ohm 30 Watt HiFi Woofer Deep Bass for Home Theater, Multicolor",249,(17% off),Speakers,Electronic,"3.7 out of 5 stars, rating details",223
"ZEBRONICS Uzi High Precision Wired Gaming Mouse with 4 Buttons, Rainbow LED Lights, DPI Switch with 800/1200/1600/2400 DPI, Plug & Play, 3 Million clicks, Lightweight Mouse",249,(50% off),Computer Accessories,Zebronics,"3.9 out of 5 stars, rating details",509
"HP M160 USB Wired Gaming Optical Mouse with LED Backlight, 1000 DPI, 3 Buttons and Press Life Up to 3 Million Clicks, 1 Year Warranty (843W8AA, Black)",249,(69% off),Computer Accessories,HP,"4.4 out of 5 stars, rating details",681
Dyazo Large World Map Anti-Slip Extended Desk Mat| Mouse Pad | Water Resistant Mat for Laptop| Computer Size 800 x 300 mm (Black No Logo),249,(75% off),Computer Accessories,Dyazo,"4.3 out of 5 stars, rating details",881
"ZEBRONICS 150Hb 4 Port USB Hub with Dedicated On/Off Switch, Led Indicators, 45Cm Cable Length, Optional Power Input Port, Multi Device and Plug Play Usage",249,(64% off),Computer Accessories,Zebronics,"3.4 out of 5 stars, rating details","1,073"
"amazon basics Rectangular Magic Slate 8.5-Inch LCD Writing Tablet with Stylus Pen, for Drawing, Playing, Noting by Kids & Adults",249,(75% off),Tablets,Amazon Basics,"4.0 out of 5 stars, rating details","5,427"
STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),249,(83% off),Computer Accessories,STRIFF,"4.3 out of 5 stars, rating details","39,345"
